Cenario;Provedor;Selecao
FLAT;Google Cloud;0.251847
FLAT;Rackspace;0.249085
FLAT;Microsoft Azure;0.25451
FLAT;Amazon AWS;0.242102
FLAT;Google Cloud;0.254303
FLAT;Rackspace;0.249507
FLAT;Microsoft Azure;0.249622
FLAT;Amazon AWS;0.25353
FLAT;Google Cloud;0.247342
FLAT;Rackspace;0.249253
FLAT;Microsoft Azure;0.250829
FLAT;Amazon AWS;0.251684
FLAT;Google Cloud;0.248233
FLAT;Rackspace;0.249345
FLAT;Microsoft Azure;0.251835
FLAT;Amazon AWS;0.248306
FLAT;Google Cloud;0.250514
FLAT;Rackspace;0.250026
FLAT;Microsoft Azure;0.251161
FLAT;Amazon AWS;0.249623
FLAT;Google Cloud;0.24919
FLAT;Rackspace;0.249144
FLAT;Microsoft Azure;0.257342
FLAT;Amazon AWS;0.233995
FLAT;Google Cloud;0.259519
FLAT;Rackspace;0.250013
FLAT;Microsoft Azure;0.249218
FLAT;Amazon AWS;0.253613
FLAT;Google Cloud;0.247157
FLAT;Rackspace;0.25075
FLAT;Microsoft Azure;0.248021
FLAT;Amazon AWS;0.255179
FLAT;Google Cloud;0.24605
FLAT;Rackspace;0.250205
FLAT;Microsoft Azure;0.249503
FLAT;Amazon AWS;0.252886
FLAT;Google Cloud;0.247406
FLAT;Rackspace;0.249115
FLAT;Microsoft Azure;0.251377
FLAT;Amazon AWS;0.25004
FLAT;Google Cloud;0.249468
FLAT;Rackspace;0.251057
FLAT;Microsoft Azure;0.247935
FLAT;Amazon AWS;0.254806
FLAT;Google Cloud;0.246202
FLAT;Rackspace;0.250163
FLAT;Microsoft Azure;0.249167
FLAT;Amazon AWS;0.25364
FLAT;Google Cloud;0.247031
FLAT;Rackspace;0.247965
FLAT;Microsoft Azure;0.253635
FLAT;Amazon AWS;0.247658
FLAT;Google Cloud;0.250742
FLAT;Rackspace;0.250798
FLAT;Microsoft Azure;0.249439
FLAT;Amazon AWS;0.251518
FLAT;Google Cloud;0.248245
FLAT;Rackspace;0.247977
FLAT;Microsoft Azure;0.25418
FLAT;Amazon AWS;0.247057
FLAT;Google Cloud;0.250787
FLAT;Rackspace;0.25106
FLAT;Microsoft Azure;0.248453
FLAT;Amazon AWS;0.253688
FLAT;Google Cloud;0.2468
FLAT;Rackspace;0.24594
FLAT;Microsoft Azure;0.258972
FLAT;Amazon AWS;0.238541
FLAT;Google Cloud;0.256548
FLAT;Rackspace;0.250149
FLAT;Microsoft Azure;0.250112
FLAT;Amazon AWS;0.250939
FLAT;Google Cloud;0.2488
FLAT;Rackspace;0.250635
FLAT;Microsoft Azure;0.249724
FLAT;Amazon AWS;0.250779
FLAT;Google Cloud;0.248862
FLAT;Rackspace;0.250219
FLAT;Microsoft Azure;0.248942
FLAT;Amazon AWS;0.253794
FLAT;Google Cloud;0.247045
FLAT;Rackspace;0.249976
FLAT;Microsoft Azure;0.250193
FLAT;Amazon AWS;0.251094
FLAT;Google Cloud;0.248736
FLAT;Rackspace;0.250681
FLAT;Microsoft Azure;0.249584
FLAT;Amazon AWS;0.251553
FLAT;Google Cloud;0.248182
FLAT;Rackspace;0.250746
FLAT;Microsoft Azure;0.249584
FLAT;Amazon AWS;0.251465
FLAT;Google Cloud;0.248204
FLAT;Rackspace;0.250761
FLAT;Microsoft Azure;0.249678
FLAT;Amazon AWS;0.250975
FLAT;Google Cloud;0.248586
FLAT;Rackspace;0.249998
FLAT;Microsoft Azure;0.252731
FLAT;Amazon AWS;0.245437
FLAT;Google Cloud;0.251835
FLAT;Rackspace;0.250897
FLAT;Microsoft Azure;0.248787
FLAT;Amazon AWS;0.254299
FLAT;Google Cloud;0.246017
FLAT;Rackspace;0.249953
FLAT;Microsoft Azure;0.249216
FLAT;Amazon AWS;0.254346
FLAT;Google Cloud;0.246485
FLAT;Rackspace;0.24924
FLAT;Microsoft Azure;0.251407
FLAT;Amazon AWS;0.25
FLAT;Google Cloud;0.249353
FLAT;Rackspace;0.25028
FLAT;Microsoft Azure;0.250179
FLAT;Amazon AWS;0.250314
FLAT;Google Cloud;0.249227
FLAT;Rackspace;0.249931
FLAT;Microsoft Azure;0.248833
FLAT;Amazon AWS;0.25496
FLAT;Google Cloud;0.246276
FLAT;Rackspace;0.250179
FLAT;Microsoft Azure;0.249222
FLAT;Amazon AWS;0.253699
FLAT;Google Cloud;0.2469
FLAT;Rackspace;0.246436
FLAT;Microsoft Azure;0.253851
FLAT;Amazon AWS;0.251291
FLAT;Google Cloud;0.248422
FLAT;Rackspace;0.250543
FLAT;Microsoft Azure;0.250741
FLAT;Amazon AWS;0.249552
FLAT;Google Cloud;0.249164
FLAT;Rackspace;0.250289
FLAT;Microsoft Azure;0.248888
FLAT;Amazon AWS;0.254085
FLAT;Google Cloud;0.246738
FLAT;Rackspace;0.249738
FLAT;Microsoft Azure;0.25054
FLAT;Amazon AWS;0.251364
FLAT;Google Cloud;0.248358
FLAT;Rackspace;0.250216
FLAT;Microsoft Azure;0.251417
FLAT;Amazon AWS;0.248078
FLAT;Google Cloud;0.250289
FLAT;Rackspace;0.248764
FLAT;Microsoft Azure;0.251701
FLAT;Amazon AWS;0.249871
FLAT;Google Cloud;0.249664
FLAT;Rackspace;0.250413
FLAT;Microsoft Azure;0.24969
FLAT;Amazon AWS;0.251846
FLAT;Google Cloud;0.248051
FLAT;Rackspace;0.250799
FLAT;Microsoft Azure;0.248226
FLAT;Amazon AWS;0.254555
FLAT;Google Cloud;0.24642
FLAT;Rackspace;0.248826
FLAT;Microsoft Azure;0.250564
FLAT;Amazon AWS;0.253385
FLAT;Google Cloud;0.247225
FLAT;Rackspace;0.250864
FLAT;Microsoft Azure;0.249249
FLAT;Amazon AWS;0.251923
FLAT;Google Cloud;0.247964
FLAT;Rackspace;0.249116
FLAT;Microsoft Azure;0.256438
FLAT;Amazon AWS;0.238973
FLAT;Google Cloud;0.255473
FLAT;Rackspace;0.249938
FLAT;Microsoft Azure;0.249979
FLAT;Amazon AWS;0.252062
FLAT;Google Cloud;0.248021
FLAT;Rackspace;0.250894
FLAT;Microsoft Azure;0.249251
FLAT;Amazon AWS;0.251753
FLAT;Google Cloud;0.248102
FLAT;Rackspace;0.250782
FLAT;Microsoft Azure;0.248236
FLAT;Amazon AWS;0.254428
FLAT;Google Cloud;0.246554
FLAT;Rackspace;0.249568
FLAT;Microsoft Azure;0.252981
FLAT;Amazon AWS;0.245516
FLAT;Google Cloud;0.251935
FLAT;Rackspace;0.246945
FLAT;Microsoft Azure;0.25554
FLAT;Amazon AWS;0.244469
FLAT;Google Cloud;0.253046
FLAT;Rackspace;0.25022
FLAT;Microsoft Azure;0.249182
FLAT;Amazon AWS;0.253651
FLAT;Google Cloud;0.246947
FLAT;Rackspace;0.249762
FLAT;Microsoft Azure;0.249115
FLAT;Amazon AWS;0.254596
FLAT;Google Cloud;0.246527
FLAT;Rackspace;0.250632
FLAT;Microsoft Azure;0.249184
FLAT;Amazon AWS;0.252263
FLAT;Google Cloud;0.247921
FLAT;Rackspace;0.249461
FLAT;Microsoft Azure;0.253829
FLAT;Amazon AWS;0.243228
FLAT;Google Cloud;0.253481
FLAT;Rackspace;0.249571
FLAT;Microsoft Azure;0.251138
FLAT;Amazon AWS;0.249836
FLAT;Google Cloud;0.249455
FLAT;Rackspace;0.250182
FLAT;Microsoft Azure;0.250978
FLAT;Amazon AWS;0.248472
FLAT;Google Cloud;0.250368
FLAT;Rackspace;0.250915
FLAT;Microsoft Azure;0.24857
FLAT;Amazon AWS;0.253411
FLAT;Google Cloud;0.247104
FLAT;Rackspace;0.250239
FLAT;Microsoft Azure;0.248822
FLAT;Amazon AWS;0.254632
FLAT;Google Cloud;0.246306
FLAT;Rackspace;0.248841
FLAT;Microsoft Azure;0.252452
FLAT;Amazon AWS;0.247624
FLAT;Google Cloud;0.251082
FLAT;Rackspace;0.250567
FLAT;Microsoft Azure;0.248315
FLAT;Amazon AWS;0.255095
FLAT;Google Cloud;0.246023
FLAT;Rackspace;0.250468
FLAT;Microsoft Azure;0.248737
FLAT;Amazon AWS;0.254238
FLAT;Google Cloud;0.246556
FLAT;Rackspace;0.246261
FLAT;Microsoft Azure;0.257985
FLAT;Amazon AWS;0.239388
FLAT;Google Cloud;0.256366
FLAT;Rackspace;0.249976
FLAT;Microsoft Azure;0.251025
FLAT;Amazon AWS;0.249555
FLAT;Google Cloud;0.249444
FLAT;Rackspace;0.248289
FLAT;Microsoft Azure;0.252894
FLAT;Amazon AWS;0.247655
FLAT;Google Cloud;0.251162
FLAT;Rackspace;0.25072
FLAT;Microsoft Azure;0.249553
FLAT;Amazon AWS;0.251112
FLAT;Google Cloud;0.248615
FLAT;Rackspace;0.251031
FLAT;Microsoft Azure;0.248861
FLAT;Amazon AWS;0.252751
FLAT;Google Cloud;0.247357
FLAT;Rackspace;0.249818
FLAT;Microsoft Azure;0.250369
FLAT;Amazon AWS;0.250897
FLAT;Google Cloud;0.248916
FLAT;Rackspace;0.249833
FLAT;Microsoft Azure;0.249612
FLAT;Amazon AWS;0.25352
FLAT;Google Cloud;0.247035
FLAT;Rackspace;0.25021
FLAT;Microsoft Azure;0.250372
FLAT;Amazon AWS;0.25056
FLAT;Google Cloud;0.248858
FLAT;Rackspace;0.250535
FLAT;Microsoft Azure;0.248813
FLAT;Amazon AWS;0.254007
FLAT;Google Cloud;0.246645
FLAT;Rackspace;0.249963
FLAT;Microsoft Azure;0.250174
FLAT;Amazon AWS;0.251698
FLAT;Google Cloud;0.248165
FLAT;Rackspace;0.250677
FLAT;Microsoft Azure;0.249374
FLAT;Amazon AWS;0.252123
FLAT;Google Cloud;0.247826
FLAT;Rackspace;0.24994
FLAT;Microsoft Azure;0.249537
FLAT;Amazon AWS;0.253093
FLAT;Google Cloud;0.24743
FLAT;Rackspace;0.249089
FLAT;Microsoft Azure;0.250355
FLAT;Amazon AWS;0.253456
FLAT;Google Cloud;0.247099
FLAT;Rackspace;0.249708
FLAT;Microsoft Azure;0.249213
FLAT;Amazon AWS;0.254327
FLAT;Google Cloud;0.246753
FLAT;Rackspace;0.249274
FLAT;Microsoft Azure;0.251512
FLAT;Amazon AWS;0.249251
FLAT;Google Cloud;0.249962
FLAT;Rackspace;0.251024
FLAT;Microsoft Azure;0.248369
FLAT;Amazon AWS;0.253618
FLAT;Google Cloud;0.246989
FLAT;Rackspace;0.247263
FLAT;Microsoft Azure;0.25539
FLAT;Amazon AWS;0.244052
FLAT;Google Cloud;0.253294
FLAT;Rackspace;0.245516
FLAT;Microsoft Azure;0.260503
FLAT;Amazon AWS;0.234024
FLAT;Google Cloud;0.259957
FLAT;Rackspace;0.249799
FLAT;Microsoft Azure;0.249235
FLAT;Amazon AWS;0.254197
FLAT;Google Cloud;0.246769
FLAT;Rackspace;0.246631
FLAT;Microsoft Azure;0.25873
FLAT;Amazon AWS;0.236385
FLAT;Google Cloud;0.258254
FLAT;Rackspace;0.250135
FLAT;Microsoft Azure;0.251048
FLAT;Amazon AWS;0.249023
FLAT;Google Cloud;0.249793
FLAT;Rackspace;0.249768
FLAT;Microsoft Azure;0.250267
FLAT;Amazon AWS;0.25189
FLAT;Google Cloud;0.248075
FLAT;Rackspace;0.250495
FLAT;Microsoft Azure;0.248774
FLAT;Amazon AWS;0.25401
FLAT;Google Cloud;0.246721
FLAT;Rackspace;0.249592
FLAT;Microsoft Azure;0.253923
FLAT;Amazon AWS;0.244225
FLAT;Google Cloud;0.252261
FLAT;Rackspace;0.247942
FLAT;Microsoft Azure;0.252093
FLAT;Amazon AWS;0.252411
FLAT;Google Cloud;0.247553
FLAT;Rackspace;0.248845
FLAT;Microsoft Azure;0.254241
FLAT;Amazon AWS;0.246152
FLAT;Google Cloud;0.250762
FLAT;Rackspace;0.248161
FLAT;Microsoft Azure;0.254567
FLAT;Amazon AWS;0.245197
FLAT;Google Cloud;0.252075
FLAT;Rackspace;0.24683
FLAT;Microsoft Azure;0.256799
FLAT;Amazon AWS;0.24117
FLAT;Google Cloud;0.255201
FLAT;Rackspace;0.248978
FLAT;Microsoft Azure;0.252706
FLAT;Amazon AWS;0.246995
FLAT;Google Cloud;0.251321
FLAT;Rackspace;0.249994
FLAT;Microsoft Azure;0.250041
FLAT;Amazon AWS;0.251677
FLAT;Google Cloud;0.248288
FLAT;Rackspace;0.250937
FLAT;Microsoft Azure;0.248301
FLAT;Amazon AWS;0.254116
FLAT;Google Cloud;0.246647
FLAT;Rackspace;0.250252
FLAT;Microsoft Azure;0.250073
FLAT;Amazon AWS;0.250906
FLAT;Google Cloud;0.248768
FLAT;Rackspace;0.25091
FLAT;Microsoft Azure;0.248851
FLAT;Amazon AWS;0.252472
FLAT;Google Cloud;0.247767
FLAT;Rackspace;0.248552
FLAT;Microsoft Azure;0.252795
FLAT;Amazon AWS;0.247162
FLAT;Google Cloud;0.251491
FLAT;Rackspace;0.251038
FLAT;Microsoft Azure;0.248606
FLAT;Amazon AWS;0.253203
FLAT;Google Cloud;0.247153
FLAT;Rackspace;0.25023
